SCHOOL_KEY,NETWORK,GOVERNANCE,ANNUAL_REGIONAL_ANALYSIS_REGION,COMMUNITY,REGION_ENCODED
1277,Network 7,District,West Side,NORTH LAWNDALE,2
1278,Network 10,District,Greater Midway,WEST LAWN,9
1279,Network 6,District,Near West Side,NEAR WEST SIDE,12
1280,Network 4,District,Northwest Side,NORTH CENTER,4
1281,Network 2,District,Northwest Side,WEST RIDGE,4
1283,Network 7,District,Pilsen / Little Village,LOWER WEST SIDE,11
1284,ISP,District,Pilsen / Little Village,LOWER WEST SIDE,11
1285,Network 10,District,Far Southwest Side,BEVERLY,0
1286,Network 7,District,Pilsen / Little Village,SOUTH LAWNDALE,11
1288,Network 11,District,South Side,ENGLEWOOD,1
1290,Network 5,District,Greater Milwaukee Avenue,HUMBOLDT PARK,13
1291,Network 2,District,North Lakefront,ROGERS PARK,3
1293,ISP,District,Pilsen / Little Village,SOUTH LAWNDALE,11
1294,Network 10,District,Greater Midway,GARFIELD RIDGE,9
1295,Network 11,District,South Side,WASHINGTON HEIGHTS,1
1297,Network 6,District,Greater Milwaukee Avenue,WEST TOWN,13
1298,Network 9,District,Bronzeville / South Lakefront,HYDE PARK,6
1300,Network 11,District,South Side,WASHINGTON HEIGHTS,1
1301,Network 4,District,Greater Lincoln Park,LINCOLN PARK,14
1302,Network 5,District,West Side,NORTH LAWNDALE,2
1304,Network 3,District,West Side,AUSTIN,2
1305,Network 8,District,South Side,NEW CITY,1
1306,Network 4,District,Greater Lincoln Park,LINCOLN PARK,14
1307,Network 4,District,Northwest Side,AVONDALE,4
1308,Network 3,District,Far Northwest Side,BELMONT CRAGIN,5
1309,Network 3,District,Far Northwest Side,MONTCLARE,5
1311,Network 3,District,West Side,AUSTIN,2
1312,Network 5,District,Greater Milwaukee Avenue,HUMBOLDT PARK,13
1314,Network 3,District,Far Northwest Side,BELMONT CRAGIN,5
1315,Network 12,District,Greater Stony Island,SOUTH SHORE,7
1316,Network 4,District,Greater Lincoln Park,NEAR NORTH SIDE,14
1318,Network 3,District,Far Northwest Side,BELMONT CRAGIN,5
1319,Network 12,District,Greater Stony Island,SOUTH CHICAGO,7
1320,Network 10,District,Greater Midway,CHICAGO LAWN,9
1321,Network 13,District,Greater Calumet,SOUTH DEERING,8
1322,Network 5,District,West Side,EAST GARFIELD PARK,2
1323,Network 7,District,West Side,NORTH LAWNDALE,2
1324,Network 10,District,Greater Midway,CHICAGO LAWN,9
1326,Network 4,District,Greater Lincoln Park,LINCOLN PARK,14
1327,Network 6,District,Near West Side,NEAR WEST SIDE,12
1329,Network 6,District,Greater Stockyards,BRIDGEPORT,10
1330,Network 7,District,Pilsen / Little Village,SOUTH LAWNDALE,11
1332,Network 9,District,Bronzeville / South Lakefront,WOODLAWN,6
1333,Network 12,District,Greater Stony Island,CHATHAM,7
1334,Network 10,District,Greater Midway,CHICAGO LAWN,9
1335,Network 3,District,Far Northwest Side,BELMONT CRAGIN,5
1337,Network 2,District,Northwest Side,LINCOLN SQUARE,4
1340,ISP,District,Greater Milwaukee Avenue,WEST TOWN,13
1341,Network 4,District,Greater Milwaukee Avenue,LOGAN SQUARE,13
1343,Network 5,District,Greater Milwaukee Avenue,WEST TOWN,13
1344,Network 10,District,Greater Midway,CHICAGO LAWN,9
